@RELATION finance

@ATTRIBUTE date DATE "yyyy-MM-dd"
@ATTRIBUTE sma NUMERIC
@ATTRIBUTE rsi NUMERIC
@ATTRIBUTE ema NUMERIC

@ATTRIBUTE macd NUMERIC
@ATTRIBUTE signal_line NUMERIC

@DATA
2023-10-11, 165.247143, 49.230546, 155.531549, -0.840629, 153.625463
2023-10-11, 165.247143, 49.230546, 155.531549, 0.083119, 153.625463
2023-10-11, 165.247143, 49.230546, 155.531549, -0.840629, 153.625463
2023-10-11, 165.247143, 49.230546, 155.531549, -0.840629, 153.625463
2023-10-11, 165.247143, 49.230546, 155.531549, -0.840629, 153.625463
2023-10-11, 165.247143, 49.230546, 155.531549, -0.840629, 153.625463
2023-10-11, 165.247143, 49.230546, 155.531549, -0.840629, 153.625463
2023-10-12, 165.247143, 49.230546, 155.531549, -2.894834, 153.625463
2023-10-12, 165.247143, 49.230546, 155.531549, -2.894834, 153.625463
2023-10-12, 165.247143, 49.230546, 155.531549, -2.384709, 153.625463
2023-10-12, 165.247143, 49.230546, 155.531549, -2.894834, 153.625463
2023-10-12, 165.247143, 49.230546, 155.531549, -2.894834, 153.625463
2023-10-12, 165.247143, 49.230546, 155.531549, -2.894834, 153.625463
2023-10-12, 165.247143, 49.230546, 155.531549, -2.894834, 153.625463
2023-10-13, 165.247143, 49.230546, 155.531549, -8.527821, 153.625463
2023-10-13, 165.247143, 49.230546, 155.531549, -8.527821, 153.625463
2023-10-13, 165.247143, 49.230546, 155.531549, -8.527821, 153.625463
2023-10-13, 165.247143, 49.230546, 155.531549, -4.512783, 153.625463
2023-10-13, 165.247143, 49.230546, 155.531549, -8.527821, 153.625463
2023-10-13, 165.247143, 49.230546, 155.531549, -8.527821, 153.625463
2023-10-13, 165.247143, 49.230546, 155.531549, -8.527821, 153.625463
2023-10-16, 165.247143, 49.230546, 155.531549, -2.649014, 153.625463
2023-10-16, 165.247143, 49.230546, 155.531549, -2.649014, 153.625463
2023-10-16, 165.247143, 49.230546, 155.531549, -2.649014, 153.625463
2023-10-16, 165.247143, 49.230546, 155.531549, -2.649014, 153.625463
2023-10-16, 165.247143, 49.230546, 155.531549, -6.068820, 153.625463
2023-10-16, 165.247143, 49.230546, 155.531549, -2.649014, 153.625463
2023-10-16, 165.247143, 49.230546, 155.531549, -2.649014, 153.625463
2023-10-17, 165.247143, 49.230546, 155.531549, -7.130230, 153.625463
2023-10-17, 165.247143, 49.230546, 155.531549, -13.109832, 153.625463
2023-10-17, 165.247143, 49.230546, 155.531549, -13.109832, 153.625463
2023-10-17, 165.247143, 49.230546, 155.531549, -13.109832, 153.625463
2023-10-17, 165.247143, 49.230546, 155.531549, -13.109832, 153.625463
2023-10-17, 165.247143, 49.230546, 155.531549, -13.109832, 153.625463
2023-10-17, 165.247143, 49.230546, 155.531549, -13.109832, 153.625463
2023-10-18, 165.247143, 49.230546, 155.531549, -7.908484, 153.625463
2023-10-18, 165.247143, 49.230546, 155.531549, -7.172521, 153.625463
2023-10-18, 165.247143, 49.230546, 155.531549, -7.172521, 153.625463
2023-10-18, 165.247143, 49.230546, 155.531549, -7.172521, 153.625463
2023-10-18, 165.247143, 49.230546, 155.531549, -7.172521, 153.625463
2023-10-18, 165.247143, 49.230546, 155.531549, -7.172521, 153.625463
2023-10-18, 165.247143, 49.230546, 155.531549, -7.172521, 153.625463
2023-10-19, 165.247143, 49.230546, 155.531549, -2.085534, 153.625463
2023-10-19, 165.247143, 49.230546, 155.531549, -2.085534, 153.625463
2023-10-19, 165.247143, 49.230546, 155.531549, -2.085534, 153.625463
2023-10-19, 165.247143, 49.230546, 155.531549, -3.247575, 153.625463
2023-10-19, 165.247143, 49.230546, 155.531549, -2.085534, 153.625463
2023-10-19, 165.247143, 49.230546, 155.531549, -3.393933, 153.625463
2023-10-19, 165.247143, 49.230546, 155.531549, -2.085534, 153.625463
2023-10-19, 165.247143, 49.230546, 155.531549, -2.085534, 153.625463
2023-10-20, 165.247143, 49.230546, 155.531549, -0.677339, 153.625463
2023-10-20, 165.247143, 49.230546, 155.531549, -0.677339, 153.625463
2023-10-20, 165.247143, 49.230546, 155.531549, -2.660226, 153.625463
2023-10-20, 165.247143, 49.230546, 155.531549, 1.528329, 153.625463
2023-10-20, 165.247143, 49.230546, 155.531549, -0.677339, 153.625463
2023-10-20, 165.247143, 49.230546, 155.531549, -0.677339, 153.625463
2023-10-20, 165.247143, 49.230546, 155.531549, -0.677339, 153.625463
2023-10-20, 165.247143, 49.230546, 155.531549, -0.677339, 153.625463
2023-10-23, 165.247143, 49.230546, 155.531549, 4.046968, 153.625463
2023-10-23, 165.247143, 49.230546, 155.531549, 4.046968, 153.625463
2023-10-23, 165.247143, 49.230546, 155.531549, 4.046968, 153.625463
2023-10-23, 165.247143, 49.230546, 155.531549, 4.046968, 153.625463
2023-10-23, 165.247143, 49.230546, 155.531549, 1.527382, 153.625463
2023-10-23, 165.247143, 49.230546, 155.531549, 4.046968, 153.625463
2023-10-23, 165.247143, 49.230546, 155.531549, 4.046968, 153.625463
2023-10-24, 165.247143, 49.230546, 155.531549, -1.125842, 153.625463
2023-10-24, 165.247143, 49.230546, 155.531549, -4.883472, 153.625463
2023-10-24, 165.247143, 49.230546, 155.531549, -4.883472, 153.625463
2023-10-24, 165.247143, 49.230546, 155.531549, -4.883472, 153.625463
2023-10-24, 165.247143, 49.230546, 155.531549, -4.883472, 153.625463
2023-10-24, 165.247143, 49.230546, 155.531549, -4.883472, 153.625463
2023-10-24, 165.247143, 49.230546, 155.531549, -4.883472, 153.625463
2023-10-25, 165.247143, 49.230546, 155.531549, 0.173379, 153.625463
2023-10-25, 165.247143, 49.230546, 155.531549, 0.173379, 153.625463
2023-10-25, 165.247143, 49.230546, 155.531549, 0.173379, 153.625463
2023-10-25, 165.247143, 49.230546, 155.531549, 0.173379, 153.625463
2023-10-25, 165.247143, 49.230546, 155.531549, 0.173379, 153.625463
2023-10-25, 165.247143, 49.230546, 155.531549, -3.248387, 153.625463
2023-10-25, 165.247143, 49.230546, 155.531549, 0.173379, 153.625463
2023-10-26, 165.247143, 49.230546, 155.531549, -2.296587, 153.625463
2023-10-26, 165.247143, 49.230546, 155.531549, -2.296587, 153.625463
2023-10-26, 165.247143, 49.230546, 155.531549, -4.341453, 153.625463
2023-10-26, 165.247143, 49.230546, 155.531549, -2.296587, 153.625463
2023-10-26, 165.247143, 49.230546, 155.531549, -2.296587, 153.625463
2023-10-26, 165.247143, 49.230546, 155.531549, -2.296587, 153.625463
2023-10-26, 165.247143, 49.230546, 155.531549, -2.296587, 153.625463
2023-10-27, 165.247143, 49.230546, 155.531549, -2.817776, 153.625463
2023-10-27, 165.247143, 49.230546, 155.531549, -2.817776, 153.625463
2023-10-27, 165.247143, 49.230546, 155.531549, -2.817776, 153.625463
2023-10-27, 165.247143, 49.230546, 155.531549, -5.247286, 153.625463
2023-10-27, 165.247143, 49.230546, 155.531549, -2.817776, 153.625463
2023-10-27, 165.247143, 49.230546, 155.531549, -2.817776, 153.625463
2023-10-27, 165.247143, 49.230546, 155.531549, -2.817776, 153.625463
2023-10-30, 165.247143, 49.230546, 155.531549, -8.215907, 153.625463
2023-10-30, 165.247143, 49.230546, 155.531549, -8.386068, 153.625463
2023-10-30, 165.247143, 49.230546, 155.531549, -8.386068, 153.625463
2023-10-30, 165.247143, 49.230546, 155.531549, -8.386068, 153.625463
2023-10-30, 165.247143, 49.230546, 155.531549, -8.386068, 153.625463
2023-10-30, 165.247143, 49.230546, 155.531549, -8.386068, 153.625463
2023-10-30, 165.247143, 49.230546, 155.531549, -8.386068, 153.625463
2023-10-31, 165.247143, 49.230546, 155.531549, -8.277238, 153.625463
2023-10-31, 165.247143, 49.230546, 155.531549, -8.202796, 153.625463
2023-10-31, 165.247143, 49.230546, 155.531549, -8.277238, 153.625463
2023-10-31, 165.247143, 49.230546, 155.531549, -8.277238, 153.625463
2023-10-31, 165.247143, 49.230546, 155.531549, -8.277238, 153.625463
2023-10-31, 165.247143, 49.230546, 155.531549, -8.277238, 153.625463
2023-10-31, 165.247143, 49.230546, 155.531549, -8.277238, 153.625463
2023-11-01, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-01, 165.247143, 49.230546, 155.531549, -0.252083, 153.625463
2023-11-01, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-01, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-01, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-01, 165.247143, 49.230546, 155.531549, 0.621090, 153.625463
2023-11-01, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-01, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-02, 165.247143, 49.230546, 155.531549, 0.621090, 153.625463
2023-11-02, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-02, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-02, 165.247143, 49.230546, 155.531549, -0.226491, 153.625463
2023-11-02, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-02, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-02, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-02, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-03, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-03, 165.247143, 49.230546, 155.531549, -0.202252, 153.625463
2023-11-03, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-03, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-03, 165.247143, 49.230546, 155.531549, 0.621090, 153.625463
2023-11-03, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-03, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-03, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-06, 165.247143, 49.230546, 155.531549, 155.178864, 153.625463
2023-11-06, 165.247143, 49.230546, 155.531549, -0.754167, 153.625463
2023-11-06, 165.247143, 49.230546, 155.531549, 155.178864, 153.625463
2023-11-06, 165.247143, 49.230546, 155.531549, 155.178864, 153.625463
2023-11-06, 165.247143, 49.230546, 155.531549, 155.178864, 153.625463
2023-11-06, 165.247143, 49.230546, 155.531549, 155.178864, 153.625463
2023-11-06, 165.247143, 49.230546, 155.531549, 155.178864, 153.625463
2023-11-06, 165.247143, 49.230546, 155.531549, 0.501202, 153.625463
2023-11-07, 165.247143, 49.230546, 155.531549, 155.322467, 153.625463
2023-11-07, 165.247143, 49.230546, 155.531549, 3.561115, 153.625463
2023-11-07, 165.247143, 49.230546, 155.531549, -3.046402, 153.625463
2023-11-07, 165.247143, 49.230546, 155.531549, 155.322467, 153.625463
2023-11-07, 165.247143, 49.230546, 155.531549, 155.322467, 153.625463
2023-11-07, 165.247143, 49.230546, 155.531549, 155.322467, 153.625463
2023-11-07, 165.247143, 49.230546, 155.531549, 155.322467, 153.625463
2023-11-07, 165.247143, 49.230546, 155.531549, 155.322467, 153.625463
2023-11-08, 165.247143, 49.230546, 155.531549, 157.440272, 153.625463
2023-11-08, 165.247143, 49.230546, 155.531549, 157.440272, 153.625463
2023-11-08, 165.247143, 49.230546, 155.531549, 157.440272, 153.625463
2023-11-08, 165.247143, 49.230546, 155.531549, 157.440272, 153.625463
2023-11-08, 165.247143, 49.230546, 155.531549, 157.440272, 153.625463
2023-11-08, 165.247143, 49.230546, 155.531549, 0.950903, 153.625463
2023-11-08, 165.247143, 49.230546, 155.531549, 157.440272, 153.625463
2023-11-08, 165.247143, 49.230546, 155.531549, -2.062461, 153.625463
2023-11-09, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-09, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-09, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-09, 165.247143, 49.230546, 155.531549, -0.759166, 153.625463
2023-11-09, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-09, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-09, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-09, 165.247143, 49.230546, 155.531549, 0.621090, 153.625463
2023-11-10, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-10, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-10, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-10, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-10, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-10, 165.247143, 49.230546, 155.531549, 0.000000, 153.625463
2023-11-10, 165.247143, 49.230546, 155.531549, 0.387740, 153.625463
